FLOW,exports,exports,exports,exports,exports,exports,imports,imports,imports,imports,imports,imports
TRADE_TYPE,Extra-EU,Extra-EU,Extra-EU,Intra-EU,Intra-EU,Intra-EU,Extra-EU,Extra-EU,Extra-EU,Intra-EU,Intra-EU,Intra-EU
product_type,Capital goods,Consumption goods,Intermediate goods,Capital goods,Consumption goods,Intermediate goods,Capital goods,Consumption goods,Intermediate goods,Capital goods,Consumption goods,Intermediate goods
DECLARANT_ISO,,,,,,,,,,,,
FR,9.616001493284053,14.839760937700737,8.976333311506842,7.13908910708997,8.81402058634875,7.869228007944706,7.719444952234216,12.977452249690481,9.159369371914227,12.431805858426333,13.395202869029553,10.80558542459667
GB,0.6035123841794584,0.7129176230127379,1.2144351877173776,0.4068310688913637,0.4690570316419234,0.631887472982377,1.2100238708316848,1.5560688466070514,1.8270825201399261,0.7664775307619435,0.9087700604874952,0.6535607402327253
GR,0.18968424259417685,0.6997220255052137,0.9217569127594686,0.2859530661060671,1.0944568978552236,0.5217452209139545,0.5894482765121205,0.9697020627738082,1.6786146355320755,0.7874812652252057,1.3424760567123561,0.8983470127493145
HR,0.1973843414820146,0.34517462653325637,0.2999224666507511,0.2256445709672151,0.371711008341944,0.4128389617572051,0.25087227098209886,0.3728946500081579,0.34814143206668924,0.6090714536582781,0.828004077598121,0.5906527972060441
HU,1.3323784585154317,0.9929456273827937,1.2116593603211652,2.820918478308997,2.1570261589957878,3.002305251803614,2.5559216892379,0.7911037132372162,1.9826259566404483,2.508635841577396,1.9251931043250246,2.8767422499841615
IE,2.729949675715685,4.477086739372694,6.556853012324795,1.4601433032558926,2.1962346806215294,2.8478581378724535,2.92555021111999,1.3413906236711932,1.9133449909874147,3.034615876449684,1.0250951330736768,0.8196494720289861
IT,10.974100321001382,15.930044779129004,9.686625948675577,7.117657536867209,9.627490531057457,7.5141315523686005,5.372386192682306,8.897657897401748,10.970552069685699,6.862138690233339,8.22695655049108,7.5048586784793985
LT,0.6216000408396501,0.6445071896045136,0.7641076969249117,0.3259361376915711,0.7598982322911829,0.5675660213592523,0.2043652346517527,0.32336965457093675,0.6719648674869599,0.8885223281146121,0.8645248832365221,0.61457092621371
LU,0.1018836201072588,0.03374244957530151,0.18218406914522559,0.2550489507655376,0.2441521181738259,0.41234361019367005,0.21969533543698938,0.10045981745943414,0.08805861901100326,0.4876778046441064,0.594479094960122,0.5335568747146612
LV,0.25775563921612454,0.41006893112675524,0.26249137456839117,0.2541625243486428,0.322354422241219,0.33645537734595243,0.2875726375583012,0.16954768961974007,0.21925050284033654,0.45142000403916466,0.614838158031642,0.3363005730201641
MT,0.029371344819591822,0.07267379528718092,0.09320726264063295,0.02607880096927062,0.0698176662781416,0.03418850690676908,0.13619219679625513,0.1551562648096125,0.06973292721798836,0.09928446529620545,0.1152837084732115,0.09112538699612004
NL,12.09273906732922,9.095120064520104,8.75720449386415,19.47239301656117,14.511846401438536,12.737186306791873,28.614611269735168,16.747418577365714,15.567389704804606,7.99225605826163,8.218322690080774,7.961210535990796
PL,3.031868423065956,3.7045382620265186,2.834810502395904,5.136685989157843,8.662821991454921,5.678063797669231,4.134146130921194,3.8530037582088728,4.65473034924757,5.850090780018525,5.517934216737146,5.483157678540718
PT,0.4212443487577709,0.8799802071132715,0.8253953236894492,0.9390432632819431,1.5842123913121076,1.3701571269938628,0.48858882825724,0.7589186052195911,1.273532992458253,1.6864392888494455,2.123616914688247,1.7299885922268932
RO,0.4595274391884729,0.5018761434056682,1.1261189804159875,1.249836739964904,1.301638897034644,1.7862396736949449,0.9211650013765021,1.1032881223550726,1.47101739974866,2.2300491238969475,2.088714961601626,2.262721376626681
SE,3.5664635292214055,3.300609665144716,3.40481279276753,2.4971718726807333,2.004476455857602,2.6314763913857724,1.8503230738544962,3.3053549259749873,2.17362410017963,4.114703719876004,3.090046809694687,2.779483535897517
SI,0.36665062935994014,1.5185748379521105,0.5709090964314618,0.6847823166307768,0.7721029477292998,0.9293524258810084,0.5850091043591085,1.592167798644949,0.7018449700881715,0.707223567430134,0.6726875909706667,0.8440057286221121
